Feature,Importance
TenureSquared,0.22953117437430795
IsNewCustomer,0.22424648262742403
Tenure,0.21070999148953562
TenureMonthlyInteraction,0.10469111714370982
AverageMonthlySpend,0.07135578313649217
ChargesGap,0.048193094530935544
EstimatedAnnualCharges,0.022368651666453607
IsMonthToMonth,0.01962340383650083
MonthlyCharges,0.01955110657668164
Contract_Month-to-month,0.01762063859448528
TotalCharges,0.011686779845459757
Contract_One year,0.00830933398079764
Contract_Two year,0.001716655765786494
IsAutoPay,0.001668940497929439
PaymentMethod_Bank Transfer,0.001667592523630249
SeniorCitizen,0.0015322602271685727
PaymentMethod_Electronic Check,0.001475326906047007
PaperlessBilling_No,0.0014637301991725583
PaperlessBilling_Yes,0.001401142587986157
PaymentMethod_Credit Card,0.0011867934894956933
